Data,Hora,GSR,A0,A1,ECG
2024-09-25,09:16:21,168,1,1,0
2024-09-25,09:16:21,177,1,1,0
2024-09-25,09:16:21,164,1,1,0
2024-09-25,09:16:21,164,1,1,0
2024-09-25,09:16:21,176,1,1,0
2024-09-25,09:16:21,167,1,1,0
2024-09-25,09:16:21,160,1,1,0
2024-09-25,09:16:21,171,1,1,0
2024-09-25,09:16:21,171,1,1,0
2024-09-25,09:16:21,155,1,1,0
2024-09-25,09:16:21,166,1,1,0
2024-09-25,09:16:21,173,1,1,0
2024-09-25,09:16:21,160,1,1,0
2024-09-25,09:16:21,162,1,1,0
2024-09-25,09:16:21,176,1,1,0
2024-09-25,09:16:21,164,1,1,0
2024-09-25,09:16:21,159,1,1,0
2024-09-25,09:16:21,172,1,1,0
2024-09-25,09:16:21,168,1,1,0
2024-09-25,09:16:21,156,1,1,0
2024-09-25,09:16:21,167,1,1,0
2024-09-25,09:16:21,172,1,1,0
2024-09-25,09:16:21,157,1,1,0
2024-09-25,09:16:21,162,1,1,0
2024-09-25,09:16:21,173,1,1,0
2024-09-25,09:16:21,161,1,1,0
2024-09-25,09:16:21,159,1,1,0
2024-09-25,09:16:21,172,1,1,0
2024-09-25,09:16:21,167,1,1,0
2024-09-25,09:16:21,157,1,1,0
2024-09-25,09:16:21,169,1,1,0
2024-09-25,09:16:21,171,1,1,0
2024-09-25,09:16:21,160,1,1,0
2024-09-25,09:16:21,168,1,1,0
2024-09-25,09:16:21,178,1,1,0
2024-09-25,09:16:21,165,1,1,0
2024-09-25,09:16:22,164,1,1,0
2024-09-25,09:16:22,177,1,1,0
2024-09-25,09:16:22,168,1,1,0
2024-09-25,09:16:22,160,1,1,0
2024-09-25,09:16:22,172,1,1,0
2024-09-25,09:16:22,171,1,1,0
2024-09-25,09:16:22,158,1,1,0
2024-09-25,09:16:22,166,1,1,0
2024-09-25,09:16:22,173,1,1,0
2024-09-25,09:16:22,160,1,1,0
2024-09-25,09:16:22,162,1,1,0
2024-09-25,09:16:22,173,1,1,0
2024-09-25,09:16:22,165,1,1,0
2024-09-25,09:16:22,157,1,1,0
2024-09-25,09:16:22,172,1,1,0
2024-09-25,09:16:22,167,1,1,0
2024-09-25,09:16:23,158,1,1,0
2024-09-25,09:16:23,166,1,1,0
2024-09-25,09:16:23,174,1,1,0
2024-09-25,09:16:23,159,1,1,0
2024-09-25,09:16:23,165,1,1,0
2024-09-25,09:16:23,173,1,1,0
2024-09-25,09:16:23,164,1,1,0
2024-09-25,09:16:23,161,1,1,0
2024-09-25,09:16:23,173,1,1,0
2024-09-25,09:16:23,167,1,1,0
2024-09-25,09:16:23,157,1,1,0
2024-09-25,09:16:23,169,1,1,0
2024-09-25,09:16:23,171,1,1,0
2024-09-25,09:16:23,159,1,1,0
2024-09-25,09:16:23,164,1,1,0
2024-09-25,09:16:23,174,1,1,0
2024-09-25,09:16:24,162,1,1,0
2024-09-25,09:16:24,161,1,1,0
2024-09-25,09:16:24,175,1,1,0
2024-09-25,09:16:24,166,1,1,0
2024-09-25,09:16:24,158,1,1,0
2024-09-25,09:16:24,171,1,1,0
2024-09-25,09:16:24,171,1,1,0
2024-09-25,09:16:24,157,1,1,0
2024-09-25,09:16:24,166,1,1,0
2024-09-25,09:16:24,175,1,1,0
2024-09-25,09:16:24,162,1,1,0
2024-09-25,09:16:24,161,1,1,0
2024-09-25,09:16:24,176,1,1,0
2024-09-25,09:16:24,166,1,1,0
2024-09-25,09:16:24,157,1,1,0
2024-09-25,09:16:24,171,1,1,0
2024-09-25,09:16:24,170,1,1,0
2024-09-25,09:16:25,158,1,1,0
2024-09-25,09:16:25,167,1,1,0
2024-09-25,09:16:25,174,1,1,0
2024-09-25,09:16:25,160,1,1,0
2024-09-25,09:16:25,162,1,1,0
2024-09-25,09:16:25,175,1,1,0
2024-09-25,09:16:25,164,1,1,0
2024-09-25,09:16:25,159,1,1,0
2024-09-25,09:16:25,172,1,1,0
2024-09-25,09:16:25,169,1,1,0
2024-09-25,09:16:25,157,1,1,0
2024-09-25,09:16:25,170,1,1,0
2024-09-25,09:16:25,173,1,1,0
2024-09-25,09:16:25,161,1,1,0
2024-09-25,09:16:25,166,1,1,0
2024-09-25,09:16:25,179,1,1,0
2024-09-25,09:16:26,164,1,1,0
2024-09-25,09:16:26,162,1,1,0
2024-09-25,09:16:26,174,1,1,0
2024-09-25,09:16:26,169,1,1,0
2024-09-25,09:16:26,157,1,1,0
2024-09-25,09:16:26,169,1,1,0
2024-09-25,09:16:26,172,1,1,0
2024-09-25,09:16:26,158,1,1,0
2024-09-25,09:16:26,167,1,1,0
2024-09-25,09:16:26,176,1,1,0
2024-09-25,09:16:26,163,1,1,0
2024-09-25,09:16:26,161,1,1,0
2024-09-25,09:16:26,172,1,1,0
2024-09-25,09:16:26,167,1,1,0
2024-09-25,09:16:26,156,1,1,0
2024-09-25,09:16:26,170,1,1,0
2024-09-25,09:16:27,169,1,1,0
2024-09-25,09:16:27,156,1,1,0
2024-09-25,09:16:27,164,1,1,0
2024-09-25,09:16:27,172,1,1,0
2024-09-25,09:16:27,159,1,1,0
2024-09-25,09:16:27,160,1,1,0
2024-09-25,09:16:27,174,1,1,0
2024-09-25,09:16:27,163,1,1,0
2024-09-25,09:16:27,158,1,1,0
2024-09-25,09:16:27,172,1,1,0
2024-09-25,09:16:27,168,1,1,0
2024-09-25,09:16:27,157,1,1,0
2024-09-25,09:16:27,168,1,1,0
2024-09-25,09:16:27,172,1,1,0
2024-09-25,09:16:27,158,1,1,0
2024-09-25,09:16:27,162,1,1,0
2024-09-25,09:16:28,174,1,1,0
2024-09-25,09:16:28,162,1,1,0
2024-09-25,09:16:28,158,1,1,0
2024-09-25,09:16:28,172,1,1,0
2024-09-25,09:16:28,166,1,1,0
2024-09-25,09:16:28,156,1,1,0
2024-09-25,09:16:28,168,1,1,0
2024-09-25,09:16:28,171,1,1,0
2024-09-25,09:16:28,157,1,1,0
2024-09-25,09:16:28,163,1,1,0
2024-09-25,09:16:28,173,1,1,0
2024-09-25,09:16:28,161,1,1,0
2024-09-25,09:16:28,159,1,1,0
2024-09-25,09:16:28,171,1,1,0
2024-09-25,09:16:28,164,1,1,0
2024-09-25,09:16:28,156,1,1,0
2024-09-25,09:16:28,170,1,1,0
2024-09-25,09:16:29,170,1,1,0
2024-09-25,09:16:29,157,1,1,0
2024-09-25,09:16:29,163,1,1,0
2024-09-25,09:16:29,173,1,1,0
2024-09-25,09:16:29,159,1,1,0
2024-09-25,09:16:29,159,1,1,0
2024-09-25,09:16:29,172,1,1,0
2024-09-25,09:16:29,162,1,1,0
2024-09-25,09:16:29,157,1,1,0
2024-09-25,09:16:29,170,1,1,0
2024-09-25,09:16:29,170,1,1,0
2024-09-25,09:16:29,155,1,1,0
2024-09-25,09:16:29,166,1,1,0
2024-09-25,09:16:29,173,1,1,0
2024-09-25,09:16:29,159,1,1,0
2024-09-25,09:16:29,162,1,1,0
2024-09-25,09:16:30,174,1,1,0
2024-09-25,09:16:30,163,1,1,0
